month;GPR globale
01/01/1985;102.173377990723
01/02/1985;117.102020263672
01/03/1985;124.77815246582
01/04/1985;87.9290008544922
01/05/1985;103.262847900391
01/06/1985;148.782821655273
01/07/1985;133.905426025391
01/08/1985;82.7841033935547
01/09/1985;102.434494018555
01/10/1985;105.991912841797
01/11/1985;94.8481826782227
01/12/1985;96.4211654663086
01/01/1986;135.360748291016
01/02/1986;98.7500305175781
01/03/1986;98.6766738891602
01/04/1986;148.313858032227
01/05/1986;117.38924407959
01/06/1986;96.2942504882812
01/07/1986;94.701789855957
01/08/1986;103.34593963623
01/09/1986;117.107887268066
01/10/1986;96.7924346923828
01/11/1986;109.772819519043
01/12/1986;89.753776550293
01/01/1987;96.9428176879883
01/02/1987;100.683349609375
01/03/1987;89.6077194213867
01/04/1987;113.394081115723
01/05/1987;98.6509170532227
01/06/1987;94.1824035644531
01/07/1987;98.8719635009766
01/08/1987;99.9684448242187
01/09/1987;121.16707611084
01/10/1987;101.058586120605
01/11/1987;96.1534881591797
01/12/1987;109.856384277344
01/01/1988;83.201530456543
01/02/1988;86.2061462402344
01/03/1988;110.206512451172
01/04/1988;119.45051574707
01/05/1988;104.873474121094
01/06/1988;79.708122253418
01/07/1988;83.4304809570312
01/08/1988;84.0541610717773
01/09/1988;74.842658996582
01/10/1988;73.4502334594727
01/11/1988;68.7984161376953
01/12/1988;90.3987197875977
01/01/1989;89.2465896606445
01/02/1989;91.6185531616211
01/03/1989;87.733772277832
01/04/1989;83.5790939331055
01/05/1989;103.828506469727
01/06/1989;89.461555480957
01/07/1989;84.7531051635742
01/08/1989;109.177291870117
01/09/1989;85.5458450317383
01/10/1989;69.5246734619141
01/11/1989;92.8287124633789
01/12/1989;112.553527832031
01/01/1990;81.5440444946289
01/02/1990;77.4072113037109
01/03/1990;67.5919418334961
01/04/1990;81.6438446044922
01/05/1990;86.4071197509766
01/06/1990;79.6811065673828
01/07/1990;85.7874298095703
01/08/1990;250.451080322266
01/09/1990;188.660537719727
01/10/1990;143.852569580078
01/11/1990;158.743545532227
01/12/1990;153.16242980957
01/01/1991;379.249786376953
01/02/1991;339.358032226562
01/03/1991;148.618316650391
01/04/1991;97.760009765625
01/05/1991;88.5690231323242
01/06/1991;87.7338333129883
01/07/1991;115.184677124023
01/08/1991;113.495025634766
01/09/1991;117.942192077637
01/10/1991;100.831809997559
01/11/1991;100.742332458496
01/12/1991;103.969535827637
01/01/1992;102.957633972168
01/02/1992;87.2034683227539
01/03/1992;85.2973175048828
01/04/1992;85.8556213378906
01/05/1992;78.968147277832
01/06/1992;93.8490905761719
01/07/1992;75.1967697143555
01/08/1992;81.6451950073242
01/09/1992;74.6097183227539
01/10/1992;68.1827774047852
01/11/1992;91.0089950561523
01/12/1992;83.4209671020508
01/01/1993;128.918075561523
01/02/1993;90.4680633544922
01/03/1993;94.2414474487305
01/04/1993;112.721664428711
