month;USA;Europe;Japan;Emerging
01/06/1992;2,934283257;0,264366741;0,215618268;0,08141193
01/07/1992;2,365945101;0,170823054;0,164428607;0,070675456
01/08/1992;2,310024977;0,13200143;0,115947202;0,078393452
01/09/1992;2,407322645;0,296567503;0,228832945;0,082379862
01/10/1992;1,98891139;0,09768547;0,096805423;0,058361163
01/11/1992;2,925340891;0,192928932;0,287150025;0,109570409
01/12/1992;2,553878307;0,173739678;0,085445739;0,076951136
01/01/1993;3,617478609;0,188037252;0,223853871;0,105564773
01/02/1993;2,631327152;0,150224856;0,210506171;0,088130574
01/03/1993;2,780245066;0,111032155;0,204299167;0,083683183
01/04/1993;3,231871128;0,247985678;0,322291851;0,085284832
01/05/1993;3,082851648;0,284638296;0,201436326;0,106941026
01/06/1993;2,840909004;0,196200281;0,266335219;0,075695276
01/07/1993;3,73246026;0,20299345;0,561272204;0,100930531
01/08/1993;2,495309591;0,152908065;0,112570353;0,060728745
01/09/1993;2,702702761;0,0922206;0,173484296;0,080254508
01/10/1993;3,106104612;0,125900771;0,231922477;0,07672623
01/11/1993;2,449156284;0,097793161;0,294244915;0,08699811
01/12/1993;2,323144197;0,094323145;0,235807866;0,064353022
01/01/1994;2,420067072;0,144850731;0,203144327;0,094831673
01/02/1994;3,899640083;0,212000388;0,330642819;0,110555488
01/03/1994;2,883075237;0,073856558;0,400427133;0,107248901
01/04/1994;2,887481451;0,160208642;0,326005965;0,111283239
01/05/1994;3,395764112;0,128653943;0,245055139;0,123909458
01/06/1994;3,682563066;0,134413555;0,635242105;0,157478026
01/07/1994;3,301886797;0,207177206;0,277469486;0,084214419
01/08/1994;2,607524395;0,137592607;0,153949767;0,072417163
01/09/1994;2,814207554;0,154826956;0,145719483;0,055124149
01/10/1994;2,823891878;0,113811399;0,196816698;0,10358774
01/11/1994;2,559001684;0,160954883;0,235102639;0,061869114
01/12/1994;2,98844099;0,187952259;0,206747487;0,083589294
01/01/1995;2,357270718;0,103441416;0,109409191;0,06438914
01/02/1995;2,544471979;0,103580276;0,101328529;0,1001434
01/03/1995;2,473637581;0,13304425;0,335074395;0,067429833
01/04/1995;3,257265568;0,102399064;0,292568743;0,114461109
01/05/1995;2,648221254;0,132411066;0,444664031;0,084252133
01/06/1995;3,052903652;0,189936355;0,42760542;0,083218189
01/07/1995;3,103732824;0,204165806;0,175293878;0,064581954
01/08/1995;3,21927309;0,157765701;0,170557514;0,05666549
01/09/1995;1,863857388;0,149918962;0,121555917;0,046916318
01/10/1995;1,781394362;0,095300932;0,161278501;0,053245055
01/11/1995;2,055938244;0,121060321;0,135671049;0,053829
01/12/1995;2,144826889;0,147073841;0,153201923;0,069881577
01/01/1996;2,07581234;0,081227436;0,110308863;0,062807439
01/02/1996;2,399668932;0,09722797;0,093090609;0,080569649
01/03/1996;2,297541142;0,075951772;0,142409563;0,086445107
01/04/1996;2,148910522;0,07970137;0,272397101;0,069559491
01/05/1996;1,793330789;0,055253975;0,0969368;0,057141691
01/06/1996;1,783362031;0,079035361;0,131725609;0,085328328
01/07/1996;2,131081581;0,084439084;0,090470448;0,064017099
01/08/1996;2,207551003;0,082525274;0,061893955;0,064608603
01/09/1996;2,619775772;0,093781852;0,132517844;0,117495574
01/10/1996;1,496478915;0,044992174;0,078247264;0,051478461
01/11/1996;1,619474411;0,080464454;0,091668367;0,072369761
01/12/1996;2,075976372;0,088817548;0,395933658;0,088986512
01/01/1997;1,476793289;0,046413502;0,242616028;0,072174107
01/02/1997;1,31102109;0,055425284;0,26646769;0,064513235
01/03/1997;1,59455514;0,091395235;0,194457948;0,063966431
01/04/1997;1,675582886;0,0716665;0,333097816;0,078625959
01/05/1997;1,524864078;0,093240093;0,135975137;0,067987568
01/06/1997;0,952843964;0,04180846;0,029168691;0,030192155
01/07/1997;1,077736735;0,058876359;0,119748525;0,043067452
01/08/1997;1,270538807;0,052541077;0,095529228;0,04072562
01/09/1997;1,171579719;0,051965231;0,094482236;0,047738393
01/10/1997;1,301275373;0,054291623;0,146501213;0,061231153
